problem_idx,description,type,gold,question,question_orig,options,solved
10,JEE Adv 2016 Paper 1,MCQ(multiple),BC,"Let $f: \mathbb{R} \rightarrow \mathbb{R}, \quad g: \mathbb{R} \rightarrow \mathbb{R}$ and $h: \mathbb{R} \rightarrow \mathbb{R}$ be differentiable functions such that $f(x)=x^{3}+3 x+2, g(f(x))=x$ and $h(g(g(x)))=x$ for all $x \in \mathbb{R}$. Then","Let $f: \mathbb{R} \rightarrow \mathbb{R}, \quad g: \mathbb{R} \rightarrow \mathbb{R}$ and $h: \mathbb{R} \rightarrow \mathbb{R}$ be differentiable functions such that $f(x)=x^{3}+3 x+2, g(f(x))=x$ and $h(g(g(x)))=x$ for all $x \in \mathbb{R}$. Then

(A) $\quad g^{\prime}(2)=\frac{1}{15}$

(B) $h^{\prime}(1)=666$

(C) $h(0)=16$

(D) $h(g(3))=36$","{""A"": ""$\\quad g^{\\prime}(2)=\\frac{1}{15}$"", ""B"": ""$h^{\\prime}(1)=666$"", ""C"": ""$h(0)=16$"", ""D"": ""$h(g(3))=36$""}",no
11,JEE Adv 2016 Paper 1,MCQ(multiple),ABC,"The circle $C_{1}: x^{2}+y^{2}=3$, with centre at $O$, intersects the parabola $x^{2}=2 y$ at the point $P$ in the first quadrant. Let the tangent to the circle $C_{1}$ at $P$ touches other two circles $C_{2}$ and $C_{3}$ at $R_{2}$ and $R_{3}$, respectively. Suppose $C_{2}$ and $C_{3}$ have equal radii $2 \sqrt{3}$ and centres $Q_{2}$ and $Q_{3}$, respectively. If $Q_{2}$ and $Q_{3}$ lie on the $y$-axis, then","The circle $C_{1}: x^{2}+y^{2}=3$, with centre at $O$, intersects the parabola $x^{2}=2 y$ at the point $P$ in the first quadrant. Let the tangent to the circle $C_{1}$ at $P$ touches other two circles $C_{2}$ and $C_{3}$ at $R_{2}$ and $R_{3}$, respectively. Suppose $C_{2}$ and $C_{3}$ have equal radii $2 \sqrt{3}$ and centres $Q_{2}$ and $Q_{3}$, respectively. If $Q_{2}$ and $Q_{3}$ lie on the $y$-axis, then

(A) $Q_{2} Q_{3}=12$

(B) $\quad R_{2} R_{3}=4 \sqrt{6}$

(C) area of the triangle $O R_{2} R_{3}$ is $6 \sqrt{2}$

(D) area of the triangle $P Q_{2} Q_{3}$ is $4 \sqrt{2}$","{""A"": ""$Q_{2} Q_{3}=12$"", ""B"": ""$\\quad R_{2} R_{3}=4 \\sqrt{6}$"", ""C"": ""area of the triangle $O R_{2} R_{3}$ is $6 \\sqrt{2}$"", ""D"": ""area of the triangle $P Q_{2} Q_{3}$ is $4 \\sqrt{2}$""}",no
12,JEE Adv 2016 Paper 1,MCQ(multiple),AC,"Let $R S$ be the diameter of the circle $x^{2}+y^{2}=1$, where $S$ is the point $(1,0)$. Let $P$ be a variable point (other than $R$ and $S$ ) on the circle and tangents to the circle at $S$ and $P$ meet at the point $Q$. The normal to the circle at $P$ intersects a line drawn through $Q$ parallel to $R S$ at point $E$. Then the locus of $E$ passes through the point(s)","Let $R S$ be the diameter of the circle $x^{2}+y^{2}=1$, where $S$ is the point $(1,0)$. Let $P$ be a variable point (other than $R$ and $S$ ) on the circle and tangents to the circle at $S$ and $P$ meet at the point $Q$. The normal to the circle at $P$ intersects a line drawn through $Q$ parallel to $R S$ at point $E$. Then the locus of $E$ passes through the point(s)

(A) $\left(\frac{1}{3}, \frac{1}{\sqrt{3}}\right)$

(B) $\left(\frac{1}{4}, \frac{1}{2}\right)$

(C) $\left(\frac{1}{3},-\frac{1}{\sqrt{3}}\right)$

(D) $\left(\frac{1}{4},-\frac{1}{2}\right)$","{""A"": ""$\\left(\\frac{1}{3}, \\frac{1}{\\sqrt{3}}\\right)$"", ""B"": ""$\\left(\\frac{1}{4}, \\frac{1}{2}\\right)$"", ""C"": ""$\\left(\\frac{1}{3},-\\frac{1}{\\sqrt{3}}\\right)$"", ""D"": ""$\\left(\\frac{1}{4},-\\frac{1}{2}\\right)$""}",no
13,JEE Adv 2016 Paper 1,Integer,2,What is the total number of distinct $x \in \mathbb{R}$ for which $\left|\begin{array}{ccc}x & x^{2} & 1+x^{3} \\ 2 x & 4 x^{2} & 1+8 x^{3} \\ 3 x & 9 x^{2} & 1+27 x^{3}\end{array}\right|=10$?,What is the total number of distinct $x \in \mathbb{R}$ for which $\left|\begin{array}{ccc}x & x^{2} & 1+x^{3} \\ 2 x & 4 x^{2} & 1+8 x^{3} \\ 3 x & 9 x^{2} & 1+27 x^{3}\end{array}\right|=10$?,,no
14,JEE Adv 2016 Paper 1,Integer,5,Let $m$ be the smallest positive integer such that the coefficient of $x^{2}$ in the expansion of $(1+x)^{2}+(1+x)^{3}+\cdots+(1+x)^{49}+(1+m x)^{50}$ is $(3 n+1){ }^{51} C_{3}$ for some positive integer $n$. Then what is the value of $n$?,Let $m$ be the smallest positive integer such that the coefficient of $x^{2}$ in the expansion of $(1+x)^{2}+(1+x)^{3}+\cdots+(1+x)^{49}+(1+m x)^{50}$ is $(3 n+1){ }^{51} C_{3}$ for some positive integer $n$. Then what is the value of $n$?,,no
15,JEE Adv 2016 Paper 1,Integer,1,"What is the total number of distinct $x \in[0,1]$ for which $\int_{0}^{x} \frac{t^{2}}{1+t^{4}} d t=2 x-1$?","What is the total number of distinct $x \in[0,1]$ for which $\int_{0}^{x} \frac{t^{2}}{1+t^{4}} d t=2 x-1$?",,no
16,JEE Adv 2016 Paper 1,Integer,7,"Let $\alpha, \beta \in \mathbb{R}$ be such that $\lim _{x \rightarrow 0} \frac{x^{2} \sin (\beta x)}{\alpha x-\sin x}=1$.Then what is the value of $6(\alpha+\beta)$?","Let $\alpha, \beta \in \mathbb{R}$ be such that $\lim _{x \rightarrow 0} \frac{x^{2} \sin (\beta x)}{\alpha x-\sin x}=1$.Then what is the value of $6(\alpha+\beta)$?",,no
17,JEE Adv 2016 Paper 1,Integer,1,"Let $z=\frac{-1+\sqrt{3} i}{2}$, where $i=\sqrt{-1}$, and $r, s \in\{1,2,3\}$. Let $P=\left[\begin{array}{cc}(-z)^{r} & z^{2 s} \\ z^{2 s} & z^{r}\end{array}\right]$ and $I$ be the identity matrix of order 2 . Then what is the total number of ordered pairs $(r, s)$ for which $P^{2}=-I$?","Let $z=\frac{-1+\sqrt{3} i}{2}$, where $i=\sqrt{-1}$, and $r, s \in\{1,2,3\}$. Let $P=\left[\begin{array}{cc}(-z)^{r} & z^{2 s} \\ z^{2 s} & z^{r}\end{array}\right]$ and $I$ be the identity matrix of order 2 . Then what is the total number of ordered pairs $(r, s)$ for which $P^{2}=-I$?",,no
18,JEE Adv 2016 Paper 2,MCQ,B,"Let $P=\left[\begin{array}{ccc}1 & 0 & 0 \\ 4 & 1 & 0 \\ 16 & 4 & 1\end{array}\right]$ and $I$ be the identity matrix of order 3. If $Q=\left[q_{i j}\right]$ is a matrix such that $P^{50}-Q=I$, then $\frac{q_{31}+q_{32}}{q_{21}}$ equals","Let $P=\left[\begin{array}{ccc}1 & 0 & 0 \\ 4 & 1 & 0 \\ 16 & 4 & 1\end{array}\right]$ and $I$ be the identity matrix of order 3. If $Q=\left[q_{i j}\right]$ is a matrix such that $P^{50}-Q=I$, then $\frac{q_{31}+q_{32}}{q_{21}}$ equals

(A) 52

(B) 103

(C) 201

(D) 205","{""A"": ""52"", ""B"": ""103"", ""C"": ""201"", ""D"": ""205""}",no
19,JEE Adv 2016 Paper 2,MCQ,B,"Let $b_{i}>1$ for $i=1,2, \ldots, 101$. Suppose $\log _{e} b_{1}, \log _{e} b_{2}, \ldots, \log _{e} b_{101}$ are in Arithmetic Progression (A.P.) with the common difference $\log _{e} 2$. Suppose $a_{1}, a_{2}, \ldots, a_{101}$ are in A.P. such that $a_{1}=b_{1}$ and $a_{51}=b_{51}$. If $t=b_{1}+b_{2}+\cdots+b_{51}$ and $s=a_{1}+a_{2}+\cdots+a_{51}$, then","Let $b_{i}>1$ for $i=1,2, \ldots, 101$. Suppose $\log _{e} b_{1}, \log _{e} b_{2}, \ldots, \log _{e} b_{101}$ are in Arithmetic Progression (A.P.) with the common difference $\log _{e} 2$. Suppose $a_{1}, a_{2}, \ldots, a_{101}$ are in A.P. such that $a_{1}=b_{1}$ and $a_{51}=b_{51}$. If $t=b_{1}+b_{2}+\cdots+b_{51}$ and $s=a_{1}+a_{2}+\cdots+a_{51}$, then

(A) $s>t$ and $a_{101}>b_{101}$

(B) $s>t$ and $a_{101}<b_{101}$

(C) $s<t$ and $a_{101}>b_{101}$

(D) $s<t$ and $a_{101}<b_{101}$","{""A"": ""$s>t$ and $a_{101}>b_{101}$"", ""B"": ""$s>t$ and $a_{101}<b_{101}$"", ""C"": ""$s<t$ and $a_{101}>b_{101}$"", ""D"": ""$s<t$ and $a_{101}<b_{101}$""}",no
20,JEE Adv 2016 Paper 2,MCQ,A,The value of $\int_{-\frac{\pi}{2}}^{\frac{\pi}{2}} \frac{x^{2} \cos x}{1+e^{x}} d x$ is equal to,"The value of $\int_{-\frac{\pi}{2}}^{\frac{\pi}{2}} \frac{x^{2} \cos x}{1+e^{x}} d x$ is equal to

(A) $\frac{\pi^{2}}{4}-2$

(B) $\frac{\pi^{2}}{4}+2$

(C) $\pi^{2}-e^{\frac{\pi}{2}}$

(D) $\pi^{2}+e^{\frac{\pi}{2}}$","{""A"": ""$\\frac{\\pi^{2}}{4}-2$"", ""B"": ""$\\frac{\\pi^{2}}{4}+2$"", ""C"": ""$\\pi^{2}-e^{\\frac{\\pi}{2}}$"", ""D"": ""$\\pi^{2}+e^{\\frac{\\pi}{2}}$""}",no
21,JEE Adv 2016 Paper 2,MCQ,C,"Let $P$ be the image of the point $(3,1,7)$ with respect to the plane $x-y+z=3$. Then the equation of the plane passing through $P$ and containing the straight line $\frac{x}{1}=\frac{y}{2}=\frac{z}{1}$ is","Let $P$ be the image of the point $(3,1,7)$ with respect to the plane $x-y+z=3$. Then the equation of the plane passing through $P$ and containing the straight line $\frac{x}{1}=\frac{y}{2}=\frac{z}{1}$ is

(A) $x+y-3 z=0$

(B) $3 x+z=0$

(C) $x-4 y+7 z=0$

(D) $2 x-y=0$","{""A"": ""$x+y-3 z=0$"", ""B"": ""$3 x+z=0$"", ""C"": ""$x-4 y+7 z=0$"", ""D"": ""$2 x-y=0$""}",no
22,JEE Adv 2016 Paper 2,MCQ(multiple),AB,"Let $a, b \in \mathbb{R}$ and $f: \mathbb{R} \rightarrow \mathbb{R}$ be defined by $f(x)=a \cos \left(\left|x^{3}-x\right|\right)+b|x| \sin \left(\left|x^{3}+x\right|\right)$. Then $f$ is","Let $a, b \in \mathbb{R}$ and $f: \mathbb{R} \rightarrow \mathbb{R}$ be defined by $f(x)=a \cos \left(\left|x^{3}-x\right|\right)+b|x| \sin \left(\left|x^{3}+x\right|\right)$. Then $f$ is

(A) differentiable at $x=0$ if $a=0$ and $b=1$

(B) differentiable at $x=1$ if $a=1$ and $b=0$

(C) NOT differentiable at $x=0$ if $a=1$ and $b=0$

(D) NOT differentiable at $x=1$ if $a=1$ and $b=1$","{""A"": ""differentiable at $x=0$ if $a=0$ and $b=1$"", ""B"": ""differentiable at $x=1$ if $a=1$ and $b=0$"", ""C"": ""NOT differentiable at $x=0$ if $a=1$ and $b=0$"", ""D"": ""NOT differentiable at $x=1$ if $a=1$ and $b=1$""}",no
23,JEE Adv 2016 Paper 2,MCQ(multiple),AD,"Let $f: \mathbb{R} \rightarrow(0, \infty)$ and $g: \mathbb{R} \rightarrow \mathbb{R}$ be twice differentiable functions such that $f^{\prime \prime}$ and $g^{\prime \prime}$ are continuous functions on $\mathbb{R}$. Suppose $f^{\prime}(2)=g(2)=0, f^{\prime \prime}(2) \neq 0$ and $g^{\prime}(2) \neq 0$. If $\lim _{x \rightarrow 2} \frac{f(x) g(x)}{f^{\prime}(x) g^{\prime}(x)}=1$, then","Let $f: \mathbb{R} \rightarrow(0, \infty)$ and $g: \mathbb{R} \rightarrow \mathbb{R}$ be twice differentiable functions such that $f^{\prime \prime}$ and $g^{\prime \prime}$ are continuous functions on $\mathbb{R}$. Suppose $f^{\prime}(2)=g(2)=0, f^{\prime \prime}(2) \neq 0$ and $g^{\prime}(2) \neq 0$. If $\lim _{x \rightarrow 2} \frac{f(x) g(x)}{f^{\prime}(x) g^{\prime}(x)}=1$, then

(A) $f$ has a local minimum at $x=2$

(B) f has a local maximum at $x=2$

(C) $f^{\prime \prime}(2)>f(2)$

(D) $f(x)-f^{\prime \prime}(x)=0$ for at least one $x \in \mathbb{R}$","{""A"": ""$f$ has a local minimum at $x=2$"", ""B"": ""f has a local maximum at $x=2$"", ""C"": ""$f^{\\prime \\prime}(2)>f(2)$"", ""D"": ""$f(x)-f^{\\prime \\prime}(x)=0$ for at least one $x \\in \\mathbb{R}$""}",no
24,JEE Adv 2016 Paper 2,MCQ(multiple),BC,"Let $f:\left[-\frac{1}{2}, 2\right] \rightarrow \mathbb{R}$ and $g:\left[-\frac{1}{2}, 2\right] \rightarrow \mathbb{R}$ be functions defined by $f(x)=\left[x^{2}-3\right]$ and $g(x)=|x| f(x)+|4 x-7| f(x)$, where $[y]$ denotes the greatest integer less than or equal to $y$ for $y \in \mathbb{R}$. Then","Let $f:\left[-\frac{1}{2}, 2\right] \rightarrow \mathbb{R}$ and $g:\left[-\frac{1}{2}, 2\right] \rightarrow \mathbb{R}$ be functions defined by $f(x)=\left[x^{2}-3\right]$ and $g(x)=|x| f(x)+|4 x-7| f(x)$, where $[y]$ denotes the greatest integer less than or equal to $y$ for $y \in \mathbb{R}$. Then

(A) $f$ is discontinuous exactly at three points in $\left[-\frac{1}{2}, 2\right]$

(B) $f$ is discontinuous exactly at four points in $\left[-\frac{1}{2}, 2\right]$

(C) $g$ is NOT differentiable exactly at four points in $\left(-\frac{1}{2}, 2\right)$

(D) $g$ is NOT differentiable exactly at five points in $\left(-\frac{1}{2}, 2\right)$","{""A"": ""$f$ is discontinuous exactly at three points in $\\left[-\\frac{1}{2}, 2\\right]$"", ""B"": ""$f$ is discontinuous exactly at four points in $\\left[-\\frac{1}{2}, 2\\right]$"", ""C"": ""$g$ is NOT differentiable exactly at four points in $\\left(-\\frac{1}{2}, 2\\right)$"", ""D"": ""$g$ is NOT differentiable exactly at five points in $\\left(-\\frac{1}{2}, 2\\right)$""}",no
25,JEE Adv 2016 Paper 2,MCQ(multiple),ACD,"Let $a, b \in \mathbb{R}$ and $a^{2}+b^{2} \neq 0$. Suppose $S=\left\{z \in \mathbb{C}: z=\frac{1}{a+i b t}, t \in \mathbb{R}, t \neq 0\right\}$, where $i=\sqrt{-1}$. If $z=x+i y$ and $z \in S$, then $(x, y)$ lies on","Let $a, b \in \mathbb{R}$ and $a^{2}+b^{2} \neq 0$. Suppose $S=\left\{z \in \mathbb{C}: z=\frac{1}{a+i b t}, t \in \mathbb{R}, t \neq 0\right\}$, where $i=\sqrt{-1}$. If $z=x+i y$ and $z \in S$, then $(x, y)$ lies on

(A) the circle with radius $\frac{1}{2 a}$ and centre $\left(\frac{1}{2 a}, 0\right)$ for $a>0, b \neq 0$

(B) the circle with radius $-\frac{1}{2 a}$ and centre $\left(-\frac{1}{2 a}, 0\right)$ for $a<0, b \neq 0$

(C) the $x$-axis for $a \neq 0, b=0$

(D) the $y$-axis for $a=0, b \neq 0$","{""A"": ""the circle with radius $\\frac{1}{2 a}$ and centre $\\left(\\frac{1}{2 a}, 0\\right)$ for $a>0, b \\neq 0$"", ""B"": ""the circle with radius $-\\frac{1}{2 a}$ and centre $\\left(-\\frac{1}{2 a}, 0\\right)$ for $a<0, b \\neq 0$"", ""C"": ""the $x$-axis for $a \\neq 0, b=0$"", ""D"": ""the $y$-axis for $a=0, b \\neq 0$""}",no
26,JEE Adv 2016 Paper 2,MCQ(multiple),ACD,Let $P$ be the point on the parabola $y^{2}=4 x$ which is at the shortest distance from the center $S$ of the circle $x^{2}+y^{2}-4 x-16 y+64=0$. Let $Q$ be the point on the circle dividing the line segment $S P$ internally. Then,"Let $P$ be the point on the parabola $y^{2}=4 x$ which is at the shortest distance from the center $S$ of the circle $x^{2}+y^{2}-4 x-16 y+64=0$. Let $Q$ be the point on the circle dividing the line segment $S P$ internally. Then

(A) $S P=2 \sqrt{5}$

(B) $S Q: Q P=(\sqrt{5}+1): 2$

(C) the $x$-intercept of the normal to the parabola at $P$ is 6

(D) the slope of the tangent to the circle at $Q$ is $\frac{1}{2}$","{""A"": ""$S P=2 \\sqrt{5}$"", ""B"": ""$S Q: Q P=(\\sqrt{5}+1): 2$"", ""C"": ""the $x$-intercept of the normal to the parabola at $P$ is 6"", ""D"": ""the slope of the tangent to the circle at $Q$ is $\\frac{1}{2}$""}",no
